,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
98,Return flights on our holiday.,First flights with Lufthansa for our Rome to  Larnaca Cyprus. I booked business class as I had concerns about the weight of our bags. The check in and transfers in Munich couldn‚Äôt have been better. The cabin crew and service were excellent at the boarding gates and during the‚, Sep 2019,19-Sep,"Brisbane, Australia",Rome - Larnaca,Business Class,69,5
99,Lufthansa‚Äôs rude and sloppy check in service,I have had two recent negative experiences of Lufthansa check in staff with rude attitudes and getting things wrong.  In Montreal the check in person refused to adjust my booking on the computer to acknowledge my United Airlines Gold status. This caused problems to access the‚, Sep 2019,19-Sep,"Canberra, Australia",Frankfurt - Singapore,Premium Economy,24,3
100,Disappointing,"My wife and I recently flew from San Diego to Stuttgart via Lufthansa.  The flight part of it was fine but we had to travel via train between Frankfurt and Stuttgart.  Apparently Lufthansa books specific cars via the ICE train service in Germany, but the service is seriously‚", Sep 2019,19-Sep,"Lakeside, California",San Diego - Stuttgart,Economy,404,2
101,more expensive even less space,I try to avoid LH as much as possible.  The are very expensive for no reason.  Food is very cheap  and leg room feels like its getting less and less :(   The are very stiff and would never upgrade you for a better seat or class even I am flying with them for over 30 years !, Sep 2019,19-Apr,"Long Beach, California",Frankfurt - Gdansk,Economy,56,2
102,Good Flight,"I like this airline. The planes appear clean and well maintained on the inside and the bathrooms aren't grotty. The service is efficient and cordial and there is lots of inflight entertainment.  What I don't understand is the boarding procedure. After business class is called,‚", Sep 2019,19-Sep,"Vancouver, Canada",Tbilisi - Vancouver,Premium Economy,45,4
103,First experience with Lufthansa ,"Overall I had a pleasant flight. The flight came with a comfy feathered pillow, blanket and headphones. I really enjoyed the pillow, it was quite comfy. There is unlimited drinks which is nice as well. Good variety of entertainment. Did not have a problem with the food. Was even‚", Sep 2019,19-Sep,"Ancaster, Canada",Toronto - Frankfurt,Economy,521,5
104,Lufthansa - You need to be better than this!!!,"No complaints about the plane, seat comfort and lounge..... all top notch. However we had some major disappointments. My travelling companion has to be careful with food due to a medical issue. Despite flying business class, they kept running out of food choices for us!‚", Sep 2019,19-Sep,,Chicago - Johannesburg,Business Class,15,1
105,One of the worst,"This flight was the worst I have taken, and I travel a lot.  The 747 we were on was sub par.  Where to start?  First, the seats did not recline without the help of one of your neighbors.  I am not making this up.  You had to press the button and have your neighbor pull your seat‚", Sep 2019,19-Sep,South Carolina,Frankfurt - Philadelphia,Economy,236,1
106,extra leg room for tall people comes at a high price,"Lufthansa should definitely improve their Lactose-free food, I'm not a vegetarian. Ginger Ale is always a problem on Lufthansa flights.", Sep 2019,19-Aug,"Huetschenhausen, Germany",Atlanta - Frankfurt,Economy,16,3
107,"Very much like United standards, basic frills in economy","Average experience, but the meals were very good.  Standard expectations with regular bar cart service.  Average cleanliness-nothing spectacular.", Sep 2019,19-Jul,,New York City - London,Economy,23,3
108,Short Trip,Had to hop over to Frankfurt for a quick visit. I find the booking with Lufthansa seamless. With one price for all requirements. Seat bags checkin. No Hidden extras and professional friendly service., Sep 2019,19-Aug,Nenagh,Dublin - Frankfurt,Economy,48,5
109,Flew on good old 747.,Flew on a good old 747.  I think they are build to last almost forever :)  The flight crew was very professional and the service was top notch., Sep 2019,19-Aug,"Spokane Valley, Washington",Denver - Frankfurt,Premium Economy,107,4
110,Mrs Glenda de Bondt,"Very clean aircraft.  Check in smooth.  Efficient staff. Expensive compared to most other options.  Flew from Brussels to Frankfurt and connecting flight was very far from where we landed,  could be made easier", Sep 2019,19-Aug,"Greater Johannesburg, South Africa",Frankfurt - Johannesburg,Economy,21,4
111,Fabulous,My family and I travelled with Lufthansa in premium economy. Everything about the flight was amazing. Unbelievably comfortable . I will definitely use again. Far superior to Air Canada, Sep 2019,19-Jul,,London - Miami,Premium Economy,4,5
112,food was ok seats were awesome,food was good and the seats awesome after you meal make sure you take a nap and fill on wine or hard liquor, Sep 2019,19-Aug,"Houston, Texas",Houston - Frankfurt,First Class,48,4
113,All went fine!,All went fine! Plane was fully booked. I got my checkin 24 hours before. Very easy to do incl the Schengen ‚Äòpaper work‚Äô. The takeoff and the arrival was in time. Stewardesses polite., Sep 2019,19-Sep,"Aying, Germany",Munich - London,Economy,56,4
114,Frankfurt -Denver,"It is not a first time when Lufthansa surprised me with a high quality customer service and excellent flight conditions. Premium Economy class gives you a little bit of comfort, very good menu and much more space for your legs. On top of this plane was new, comfortable and‚", Sep 2019,19-Jun,"Katowice, Poland",Warsaw - Denver,Premium Economy,111,4
115,Highly recommend Lufthansa,"Best service of any international flights.  Crew was excellent, food was good.  Pilots kept us informed.  Seats were very comfortable.  Wine was excellent!!!", Sep 2019,19-Aug,"Ashton, Maryland",Miami - Naples,Business Class,3,5
116,Late but connected,"Flight was late leaving due to weather. We had short (about two hours) layover in Frankfort so Lufthansa shuttled passengers going on to Budapest off to the side, put us on a bus, drove us to Passport control and the to our plane waiting at a distan part of the terminal.  We all‚", Sep 2019,19-Apr,,Philadelphia - Budapest,Economy,12,5
117,One of the best in-flight experiences,"Lufthansa is known for its class and quality and it did not disappoint. I had a smaller flight from Brussels to Frankfurt and then from Frankfurt to New Delhi which incidentally was an Airbus 350. I had pre-checked in to the ""top-deck"" and it was a pure pleasure to fly in. The‚", Sep 2019,19-May,"Brussels, Belgium",Brussels - New Delhi,Economy,47,5
118,Holzklasse is not only a substitute name for Economy,"Seat Cushion outdated on a ""new"" A380. Recaro Seats are uncomfortable and I had back pain when I arrived back home in Germany. Even only 9 hours of flight time, but seat this time was a ""pain in the neck, no, in the back"". Sorry, otherwise service was good, purser very‚", Sep 2019,19-Sep,"Miami, Florida",Miami - Frankfurt,Economy,7,4
119,Great crew!,"A group of us were flying to Europe for some R&R and we‚Äôve decided to fly Lufthansa this time. As much as I hate any flights above 6h, I have to honestly say this fight was great! It was clean, quiet and smooth, and the leg room was quite decent! The crew made sure that everyone‚", Sep 2019,19-Aug,"Surrey, Canada",Vancouver - Frankfurt,Economy,36,5
120,"Flight canceled short term, Connection Flight missed, No information, Refund rejected","While waiting at the gate another passenger informed me, that the flight was canceled by LH. No information from LH site at all. They showed up 10 minutes later and told to go back to the checkin counter. There they offered 6am with TAP and 4 hours waiting in Lisboa. Only after‚", Sep 2019,19-Aug,"D√ºsseldorf, Germany",D√ºsseldorf - Rio de Janeiro,Economy,11,1
121,Good business class and reliable service.,"Pretty good business class as always. Super nice flight attendants and good food. Not as fancy as some Asian airlines, but probably the best choice to fly to California.", Sep 2019,19-Jun,,Los Angeles - Frankfurt,Business Class,7,4
122,30 min delay,"I booked a 1stop-flight from Birmingham to Turin (stop in Munich). I thought I had enough time for the transfer, but the first flight took off with a 40 minutes delay, hence I had to run through the MUC airport. Same thing for the return.  However, the crew on the first flight‚", Sep 2019,19-Jul,"Florence, Italy",Birmingham - Turin,Economy,22,3
123,Good service,The flight was pleasant. The chairs are quit comfortable. The air crew is very nice. We have ordered a kosher meal in advance and the meal was good. The only problem was that after the meal they haven't collected waste., Sep 2019,19-Aug,"Lod, Israel",Tel Aviv - Frankfurt,Economy,4,5
124,Italy flight,"Wonderful airline! Flight attendants were excellent, smooth flight, great food & entertainment center with each comfortable seat.  Will definitely use Lufthansa again if available for flight.  Wish they had service within the continental US!", Sep 2019,19-May,"Lynchburg, Virginia",Charlotte - Naples,Economy,6,5
125,European style,"This is one airline that we found impeccable. An European airline with the crew that actually ‚Äòcomprehends‚Äô not just ‚Äòunderstands‚Äô and does their job faultlessly with elegance of an european characteristics. Most impressive, believe it or not, was the food. In business class it‚", Sep 2019,19-Sep,"Melbourne, Australia",Buenos Aires - Frankfurt,Business Class,96,5
126,Nice Business CLass,"The seats were very confrotable, flat bed, the service was truly exceptional in this trip, the food was very good", Sep 2019,19-Sep,CO,Frankfurt - Washington DC,Business Class,291,4
127,Best airline service ever !,"I have never received the type of service I did from my recent flight on Lufthansa! The food was good, the staff was amazing, hot towels, alcohol in economy and comfortable seats! If I ever get back to Europe, it will be the only airline I use!", Sep 2019,19-Sep,"Clarkston, Michigan",Detroit - Amsterdam,Economy,181,5
128,Appalling / inexistant Customer service - Worst Airline experience so far (and we travel a lot!),Marseille to Hong Kong via Munich. Non existent service from Lufthansa. Completely inflexible procedure as the airline would not allow us to Fly from Marseille to Munich (the first leg of the flight we had booked) to find an alternative route following the shut down of Hong Kong‚, Sep 2019,19-Aug,"London, United Kingdom",Marseille - Hong Kong,Economy,8,1
